SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
131.202.240.101;173.194.123.104;59117;443;6;talkgadget.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;dda6c525431b3259dac349220160cdcb;t12d1110h6_43e74fd21232_3f182aacf7dd;t12d1110h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;0;49195;65281-16;;96681175a9547081bf3d417f1a572091;t1202h5_c02b_bc98f8e001b5;t1202h5_c02b_ff01;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.105;58613;443;6;play.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;dda6c525431b3259dac349220160cdcb;t12d1110h6_43e74fd21232_3f182aacf7dd;t12d1110h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;65281-16;;96681175a9547081bf3d417f1a572091;t1202h5_c02b_bc98f8e001b5;t1202h5_c02b_ff01;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.105;58654;443;6;talkgadget.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;dda6c525431b3259dac349220160cdcb;t12d1110h6_43e74fd21232_3f182aacf7dd;t12d1110h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;0;49195;65281-16;;96681175a9547081bf3d417f1a572091;t1202h5_c02b_bc98f8e001b5;t1202h5_c02b_ff01;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.110;39203;443;6;talkgadget.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;07b4162d4db57554961824a21c4a0fde;t12d1109h6_43e74fd21232_50e68031a889;t12d1109h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;0;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205h5_c02b_bec8bdbaef8a;t1205h5_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.110;39215;443;6;clients4.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;07b4162d4db57554961824a21c4a0fde;t12d1109h6_43e74fd21232_50e68031a889;t12d1109h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205h5_c02b_bec8bdbaef8a;t1205h5_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.110;39217;443;6;talkgadget.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;dda6c525431b3259dac349220160cdcb;t12d1110h6_43e74fd21232_3f182aacf7dd;t12d1110h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;0;49195;65281-16;;96681175a9547081bf3d417f1a572091;t1202h5_c02b_bc98f8e001b5;t1202h5_c02b_ff01;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.117;35367;443;6;mail.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;dda6c525431b3259dac349220160cdcb;t12d1110h6_43e74fd21232_3f182aacf7dd;t12d1110h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;65281-16;;96681175a9547081bf3d417f1a572091;t1202h5_c02b_bc98f8e001b5;t1202h5_c02b_ff01;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.117;35383;443;6;mail.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;dda6c525431b3259dac349220160cdcb;t12d1110h6_43e74fd21232_3f182aacf7dd;t12d1110h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;65281-16;;96681175a9547081bf3d417f1a572091;t1202h5_c02b_bc98f8e001b5;t1202h5_c02b_ff01;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.117;35419;443;6;mail.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;dda6c525431b3259dac349220160cdcb;t12d1110h6_43e74fd21232_3f182aacf7dd;t12d1110h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;65281-16;;96681175a9547081bf3d417f1a572091;t1202h5_c02b_bc98f8e001b5;t1202h5_c02b_ff01;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.118;43048;443;6;mail.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;dda6c525431b3259dac349220160cdcb;t12d1110h6_43e74fd21232_3f182aacf7dd;t12d1110h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;65281-16;;96681175a9547081bf3d417f1a572091;t1202h5_c02b_bc98f8e001b5;t1202h5_c02b_ff01;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.118;43070;443;6;mail.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;dda6c525431b3259dac349220160cdcb;t12d1110h6_43e74fd21232_3f182aacf7dd;t12d1110h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;65281-16;;96681175a9547081bf3d417f1a572091;t1202h5_c02b_bc98f8e001b5;t1202h5_c02b_ff01;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.118;43083;443;6;mail.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;dda6c525431b3259dac349220160cdcb;t12d1110h6_43e74fd21232_3f182aacf7dd;t12d1110h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;65281-16;;96681175a9547081bf3d417f1a572091;t1202h5_c02b_bc98f8e001b5;t1202h5_c02b_ff01;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.118;43092;443;6;mail.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;dda6c525431b3259dac349220160cdcb;t12d1110h6_43e74fd21232_3f182aacf7dd;t12d1110h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;65281-16;;96681175a9547081bf3d417f1a572091;t1202h5_c02b_bc98f8e001b5;t1202h5_c02b_ff01;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.1;57355;443;6;talkgadget.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;07b4162d4db57554961824a21c4a0fde;t12d1109h6_43e74fd21232_50e68031a889;t12d1109h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;0;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205h5_c02b_bec8bdbaef8a;t1205h5_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.32;38349;443;6;safebrowsing-cache.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;07b4162d4db57554961824a21c4a0fde;t12d1109h6_43e74fd21232_50e68031a889;t12d1109h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;0;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205h5_c02b_bec8bdbaef8a;t1205h5_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
131.202.240.101;173.194.123.36;44384;443;6;clients4.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;07b4162d4db57554961824a21c4a0fde;t12d1109h6_43e74fd21232_50e68031a889;t12d1109h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205h5_c02b_bec8bdbaef8a;t1205h5_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/hangouts_audio4-extracted.csv;0
